OBJECTID,ZIP_CODE,AdminOffice
398,94063,BH
399,94065,BH
400,94066,BH
401,94070,BH
402,94074,BH
403,94080,BH
404,94102,BH
405,94103,BH
406,94104,BH
407,94105,BH
408,94107,BH
409,94108,BH
410,94109,BH
411,94110,BH
412,94111,BH
413,94112,BH
414,94114,BH
415,94115,BH
416,94116,BH
417,94117,BH
418,94118,BH
419,94121,BH
420,94122,BH
421,94123,BH
422,94124,BH
423,94127,BH
424,94128,BH
425,94129,BH
426,94130,BH
427,94131,BH
428,94132,BH
429,94133,BH
430,94134,BH
431,94143,BH
432,94158,BH
433,94401,BH
434,94402,BH
435,94403,BH
436,94404,BH
437,94920,BH
438,94925,BH
439,94939,BH
440,94941,BH
441,94964,BH
442,94965,BH
443,94501,CH
444,94502,CH
445,94505,CH
446,94506,CH
447,94507,CH
448,94509,CH
449,94511,CH
450,94513,CH
451,94514,CH
452,94517,CH
453,94518,CH
454,94519,CH
455,94520,CH
456,94521,CH
457,94523,CH
458,94525,CH
459,94526,CH
460,94528,CH
461,94530,CH
462,94531,CH
463,94536,CH
464,94538,CH
465,94539,CH
466,94541,CH
467,94542,CH
468,94544,CH
469,94545,CH
470,94546,CH
471,94547,CH
472,94548,CH
473,94549,CH
474,94550,CH
475,94551,CH
476,94552,CH
477,94553,CH
478,94555,CH
479,94556,CH
480,94560,CH
481,94561,CH
482,94563,CH
483,94564,CH
484,94565,CH
485,94566,CH
486,94568,CH
487,94569,CH
488,94572,CH
489,94577,CH
490,94578,CH
491,94579,CH
492,94580,CH
493,94582,CH
494,94583,CH
495,94586,CH
496,94587,CH
497,94588,CH
498,94595,CH
499,94596,CH
500,94597,CH
501,94598,CH
502,94601,CH
503,94602,CH
504,94603,CH
505,94605,CH
506,94606,CH
507,94607,CH
508,94608,CH
509,94609,CH
510,94610,CH
511,94611,CH
512,94612,CH
513,94613,CH
514,94618,CH
515,94619,CH
516,94621,CH
517,94702,CH
518,94703,CH
519,94704,CH
520,94705,CH
521,94706,CH
522,94707,CH
523,94708,CH
